"","transpo_mode","highest_education","travel_time","household_income","monthly_housing_total","PUMA"
"7543","Car, truck, or van","Master's degree",30,136000,2200,"03900"
"7544","Car, truck, or van","Some college, but less than 1 year",20,136000,2200,"03900"
"7545","Car, truck, or van","1 or more years of college credit, no degree",10,142800,1600,"04200"
"7546","Car, truck, or van","Bachelor's degree",75,142800,1600,"04200"
"7547","Car, truck, or van","1 or more years of college credit, no degree",25,142800,1600,"04200"
"7548","Car, truck, or van","Professional degree beyond a bachelor's degree",30,115000,1600,"00200"
"7549","Car, truck, or van","Master's degree",45,85550,1600,"03400"
"7550","Car, truck, or van","Master's degree",45,85550,1600,"03400"
"7551","Car, truck, or van","Master's degree",15,127000,3000,"03303"
"7552","Car, truck, or van","Bachelor's degree",15,127000,3000,"03303"
"7553","Car, truck, or van","Bachelor's degree",50,42000,600,"00400"
"7554","Ferryboat","Bachelor's degree",60,620520,3000,"03900"
"7555","Subway or elevated","Master's degree",60,120200,1300,"03603"
"7556","Walked","Master's degree",20,75000,1400,"03302"
"7557","Car, truck, or van","Grade 8",15,12700,570,"01000"
"7558","Car, truck, or van","Some college, but less than 1 year",20,91000,550,"01901"
"7559","Car, truck, or van","Grade 4",20,91000,550,"01901"
"7560","Car, truck, or van","Regular high school diploma",35,91000,550,"01901"
"7561","Bus or trolley bus","Grade 8",35,58900,1500,"03306"
"7562","Subway or elevated","Grade 8",60,58900,1500,"03306"
"7563","Car, truck, or van","Master's degree",45,158000,1870,"00508"
"7564","Car, truck, or van","Bachelor's degree",60,158000,1870,"00508"
"7565","Car, truck, or van","Master's degree",20,175000,3700,"03500"
"7566","Car, truck, or van","Bachelor's degree",35,79400,1700,"03305"
"7567","Car, truck, or van","Associate's degree",5,66000,520,"04500"
"7568","Car, truck, or van","Associate's degree",40,85000,2200,"01000"
"7569","Car, truck, or van","GED or alternative credential",30,85000,2200,"01000"
"7570","Car, truck, or van","Bachelor's degree",25,57800,600,"00302"
"7571","Subway or elevated","Bachelor's degree",60,125000,1600,"03302"
"7572","Subway or elevated","Bachelor's degree",60,125000,1600,"03302"
"7573","Car, truck, or van","Regular high school diploma",15,25000,700,"03301"
"7574","Car, truck, or van","Grade 8",10,88100,1300,"00701"
"7575","Car, truck, or van","Regular high school diploma",10,88100,1300,"00701"
"7576","Car, truck, or van","Regular high school diploma",10,88100,1300,"00701"
"7577","Car, truck, or van","Regular high school diploma",10,88100,1300,"00701"
"7578","Car, truck, or van","GED or alternative credential",10,88100,1300,"00701"
"7579","Car, truck, or van","Bachelor's degree",20,272800,2550,"01000"
"7580","Car, truck, or van","Professional degree beyond a bachelor's degree",10,272800,2550,"01000"
"7581","Car, truck, or van","Bachelor's degree",20,21400,1200,"00303"
"7582","Car, truck, or van","Regular high school diploma",20,31400,2300,"00200"
"7583","Car, truck, or van","Bachelor's degree",45,215000,2400,"00503"
"7584","Car, truck, or van","Regular high school diploma",60,215000,2400,"00503"
"7585","Car, truck, or van","Bachelor's degree",25,175000,2100,"00703"
"7586","Car, truck, or van","Some college, but less than 1 year",90,175000,2100,"00703"
"7587","Car, truck, or van","No schooling completed",35,185000,2800,"02400"
"7588","Car, truck, or van","No schooling completed",5,185000,2800,"02400"
"7589","Car, truck, or van","Bachelor's degree",45,172000,2120,"00504"
"7590","Car, truck, or van","Associate's degree",8,172000,2120,"00504"
"7591","Walked","Grade 10",4,172000,2120,"00504"
"7592","Car, truck, or van","Regular high school diploma",20,30500,1200,"00508"
"7593","Car, truck, or van","Regular high school diploma",30,135900,1400,"01901"
"7594","Car, truck, or van","Master's degree",60,98000,1300,"00400"
"7595","Car, truck, or van","Regular high school diploma",30,98000,1300,"00400"
"7596","Car, truck, or van","Bachelor's degree",15,41000,920,"04301"
"7597","Car, truck, or van","Professional degree beyond a bachelor's degree",60,401600,4500,"01400"
"7598","Car, truck, or van","Doctorate degree",20,401600,4500,"01400"
"7599","Car, truck, or van","1 or more years of college credit, no degree",20,17000,1100,"00304"
"7600","Walked","Professional degree beyond a bachelor's degree",20,1230000,3300,"04800"
"7601","Walked","Doctorate degree",7,43300,2200,"03302"
"7602","Car, truck, or van","1 or more years of college credit, no degree",15,40000,1300,"03304"
"7603","Car, truck, or van","Master's degree",25,620000,800,"00302"
"7604","Car, truck, or van","Professional degree beyond a bachelor's degree",30,82300,3800,"03400"
"7605","Walked","Professional degree beyond a bachelor's degree",30,82300,3800,"03400"
"7606","Car, truck, or van","Some college, but less than 1 year",50,33300,550,"00301"
"7607","Other method","Some college, but less than 1 year",30,3000,600,"04303"
"7608","Car, truck, or van","Regular high school diploma",27,65000,3000,"00507"
"7609","Car, truck, or van","Bachelor's degree",23,65000,3000,"00507"
"7610","Walked","1 or more years of college credit, no degree",10,38700,1200,"00701"
"7611","Car, truck, or van","Associate's degree",25,38700,1200,"00701"
"7612","Car, truck, or van","Regular high school diploma",45,38000,2200,"00507"
"7613","Car, truck, or van","Some college, but less than 1 year",30,29000,1300,"04901"
"7614","Car, truck, or van","No schooling completed",30,29000,1300,"04901"
"7615","Car, truck, or van","Some college, but less than 1 year",30,50000,1800,"00505"
"7616","Car, truck, or van","Bachelor's degree",25,101000,1600,"00303"
"7617","Car, truck, or van","Regular high school diploma",15,101000,1600,"00303"
"7618","Car, truck, or van","Some college, but less than 1 year",50,48700,1600,"00400"
"7619","Car, truck, or van","1 or more years of college credit, no degree",45,245200,3000,"00501"
"7620","Car, truck, or van","Regular high school diploma",60,245200,3000,"00501"
"7621","Car, truck, or van","Some college, but less than 1 year",45,245200,3000,"00501"
"7622","Car, truck, or van","1 or more years of college credit, no degree",30,245200,3000,"00501"
"7623","Car, truck, or van","Grade 11",15,245200,3000,"00501"
"7624","Car, truck, or van","Bachelor's degree",35,186500,1600,"01902"
"7625","Car, truck, or van","1 or more years of college credit, no degree",30,11700,1300,"00200"
"7626","Car, truck, or van","1 or more years of college credit, no degree",12,55000,2200,"03500"
"7627","Other method","Regular high school diploma",5,15200,270,"00701"
"7628","Car, truck, or van","1 or more years of college credit, no degree",55,62500,2310,"04901"
"7629","Car, truck, or van","Master's degree",35,310200,3000,"02400"
"7630","Car, truck, or van","Bachelor's degree",45,310200,3000,"02400"
"7631","Subway or elevated","Bachelor's degree",45,235000,3000,"03303"
"7632","Car, truck, or van","Regular high school diploma",5,14800,830,"00701"
"7633","Car, truck, or van","Associate's degree",25,62400,1600,"00303"
"7634","Car, truck, or van","Bachelor's degree",5,111900,250,"03602"
"7635","Car, truck, or van","12th grade - no diploma",5,111900,250,"03602"
"7636","Car, truck, or van","1 or more years of college credit, no degree",10,111900,250,"03602"
"7637","Car, truck, or van","Bachelor's degree",20,124500,1300,"00502"
"7638","Taxicab","Master's degree",144,56000,1600,"00702"
"7639","Walked","1 or more years of college credit, no degree",13,150200,2300,"00505"
"7640","Car, truck, or van","Regular high school diploma",20,150200,2300,"00505"
"7641","Car, truck, or van","Regular high school diploma",35,150200,2300,"00505"
"7642","Car, truck, or van","Master's degree",20,31000,1200,"00502"
"7643","Walked","Some college, but less than 1 year",2,31000,1200,"00502"
"7644","Car, truck, or van","Doctorate degree",15,85000,1500,"01400"
"7645","Subway or elevated","Bachelor's degree",45,57000,3400,"03400"
"7646","Car, truck, or van","Regular high school diploma",40,148000,1750,"04302"
"7647","Car, truck, or van","1 or more years of college credit, no degree",20,141600,2000,"03400"
"7648","Car, truck, or van","12th grade - no diploma",10,141600,2000,"03400"
"7649","Car, truck, or van","Some college, but less than 1 year",25,54850,850,"04302"
"7650","Car, truck, or van","Master's degree",25,215900,2000,"01901"
"7651","Car, truck, or van","Associate's degree",25,167400,1800,"00502"
"7652","Walked","Bachelor's degree",30,24000,600,"03301"
"7653","Car, truck, or van","Bachelor's degree",18,109100,1700,"04903"
"7654","Car, truck, or van","Master's degree",20,129000,2200,"00506"
"7655","Subway or elevated","Master's degree",45,129000,2200,"00506"
"7656","Car, truck, or van","Bachelor's degree",45,375000,6200,"03500"
"7657","Car, truck, or van","Bachelor's degree",30,375000,6200,"03500"
"7658","Car, truck, or van","Bachelor's degree",25,139000,1900,"01300"
"7659","Car, truck, or van","Bachelor's degree",20,139000,1900,"01300"
"7660","Car, truck, or van","Associate's degree",20,1e+05,1500,"00300"
"7661","Car, truck, or van","1 or more years of college credit, no degree",20,1e+05,1500,"00300"
"7662","Car, truck, or van","1 or more years of college credit, no degree",20,103800,1400,"04303"
"7663","Car, truck, or van","Some college, but less than 1 year",40,103800,1400,"04303"
"7664","Car, truck, or van","Bachelor's degree",144,103800,1400,"04303"
"7665","Subway or elevated","1 or more years of college credit, no degree",45,129880,1200,"03900"
"7666","Car, truck, or van","Regular high school diploma",60,129880,1200,"03900"
"7667","Car, truck, or van","Master's degree",45,145000,1000,"04500"
"7668","Car, truck, or van","1 or more years of college credit, no degree",10,145000,1000,"04500"
"7669","Car, truck, or van","Some college, but less than 1 year",30,145000,1000,"04500"
"7670","Car, truck, or van","Master's degree",25,140000,1200,"00200"
"7671","Car, truck, or van","Regular high school diploma",7,140000,1200,"00200"
"7672","Car, truck, or van","Bachelor's degree",45,128000,2300,"00300"
"7673","Car, truck, or van","Bachelor's degree",30,128000,2300,"00300"
"7674","Other method","Grade 10",10,128000,2300,"00300"
"7675","Car, truck, or van","12th grade - no diploma",15,13000,1500,"00701"
"7676","Car, truck, or van","Master's degree",30,117100,1800,"03305"
"7677","Bicycle","Bachelor's degree",30,117100,1800,"03305"
"7678","Car, truck, or van","Regular high school diploma",20,86900,4350,"00504"
"7679","Car, truck, or van","Regular high school diploma",20,187000,1500,"00300"
"7680","Car, truck, or van","Regular high school diploma",60,187000,1500,"00300"
"7681","Car, truck, or van","Regular high school diploma",10,105400,3000,"04303"
"7682","Car, truck, or van","1 or more years of college credit, no degree",5,105400,3000,"04303"
"7683","Car, truck, or van","Regular high school diploma",35,105400,3000,"04303"
"7684","Car, truck, or van","Regular high school diploma",75,87500,3110,"00304"
"7685","Car, truck, or van","Regular high school diploma",20,87500,3110,"00304"
"7686","Car, truck, or van","Grade 9",20,87500,3110,"00304"
"7687","Walked","GED or alternative credential",2,20000,560,"04302"
"7688","Car, truck, or van","Master's degree",15,256100,3700,"03302"
"7689","Walked","Bachelor's degree",30,256100,3700,"03302"
"7690","Car, truck, or van","Master's degree",15,63900,1000,"01900"
"7691","Walked","Associate's degree",5,105000,1450,"00200"
"7692","Car, truck, or van","Associate's degree",45,105000,1450,"00200"
"7693","Car, truck, or van","1 or more years of college credit, no degree",20,80000,1500,"01902"
"7694","Car, truck, or van","Bachelor's degree",20,80000,1500,"01902"
"7695","Car, truck, or van","Master's degree",40,297000,2000,"00504"
"7696","Car, truck, or van","Bachelor's degree",20,297000,2000,"00504"
"7697","Car, truck, or van","Bachelor's degree",10,136440,990,"00100"
"7698","Car, truck, or van","GED or alternative credential",5,35000,1700,"00302"
"7699","Car, truck, or van","Professional degree beyond a bachelor's degree",15,292000,4800,"00702"
"7700","Car, truck, or van","Associate's degree",25,292000,4800,"00702"
"7701","Car, truck, or van","Regular high school diploma",25,292000,4800,"00702"
"7702","Car, truck, or van","Bachelor's degree",20,55500,1980,"04903"
"7703","Car, truck, or van","Grade 10",10,55500,1980,"04903"
"7704","Car, truck, or van","Bachelor's degree",20,88000,1400,"00507"
"7705","Car, truck, or van","Regular high school diploma",60,88000,1400,"00507"
"7706","Car, truck, or van","Master's degree",20,219000,5200,"00506"
"7707","Motorcycle","Associate's degree",20,219000,5200,"00506"
"7708","Car, truck, or van","1 or more years of college credit, no degree",45,40040,800,"00504"
"7709","Car, truck, or van","Bachelor's degree",45,148400,560,"00505"
"7710","Car, truck, or van","Bachelor's degree",10,148400,560,"00505"
"7711","Car, truck, or van","Bachelor's degree",45,68800,970,"00100"
"7712","Car, truck, or van","Associate's degree",45,68800,970,"00100"
"7713","Car, truck, or van","Bachelor's degree",5,128400,1500,"01600"
"7714","Car, truck, or van","Master's degree",5,128400,1500,"01600"
"7715","Car, truck, or van","Bachelor's degree",50,180000,3500,"03500"
"7716","Car, truck, or van","Associate's degree",40,180000,3500,"03500"
"7717","Car, truck, or van","Bachelor's degree",45,177000,1900,"00200"
"7718","Car, truck, or van","Regular high school diploma",50,177000,1900,"00200"
"7719","Car, truck, or van","Regular high school diploma",70,62700,1600,"04901"
"7720","Car, truck, or van","Bachelor's degree",50,240200,2400,"04303"
"7721","Car, truck, or van","Bachelor's degree",15,240200,2400,"04303"
"7722","Railroad","Bachelor's degree",60,240200,2400,"04303"
"7723","Car, truck, or van","Regular high school diploma",25,47200,1000,"03305"
"7724","Subway or elevated","Bachelor's degree",20,13000,2000,"00507"
"7725","Car, truck, or van","Bachelor's degree",40,88050,1600,"03400"
"7726","Subway or elevated","Master's degree",50,143400,4600,"00505"
"7727","Bus or trolley bus","Doctorate degree",60,143400,4600,"00505"
"7728","Car, truck, or van","Bachelor's degree",30,90400,1850,"00100"
"7729","Car, truck, or van","Grade 10",15,90400,1850,"00100"
"7730","Car, truck, or van","Associate's degree",30,27000,740,"03603"
"7731","Car, truck, or van","Associate's degree",25,154300,600,"00304"
"7732","Bus or trolley bus","1 or more years of college credit, no degree",30,165000,6000,"03305"
"7733","Car, truck, or van","Bachelor's degree",15,165000,6000,"03305"
"7734","Car, truck, or van","Some college, but less than 1 year",30,165000,6000,"03305"
"7735","Car, truck, or van","Regular high school diploma",10,42000,910,"03603"
"7736","Car, truck, or van","Associate's degree",40,20900,190,"00100"
"7737","Walked","Bachelor's degree",40,158000,2100,"03301"
"7738","Streetcar or trolley car (carro publico in Puerto Rico)","Master's degree",40,158000,2100,"03301"
"7739","Car, truck, or van","Master's degree",45,1e+05,1400,"03603"
"7740","Car, truck, or van","1 or more years of college credit, no degree",60,280000,2050,"00703"
"7741","Bus or trolley bus","Regular high school diploma",60,101400,2000,"03304"
"7742","Car, truck, or van","1 or more years of college credit, no degree",60,101400,2000,"03304"
"7743","Car, truck, or van","1 or more years of college credit, no degree",30,101400,2000,"03304"
"7744","Car, truck, or van","Master's degree",40,156000,2000,"04902"
"7745","Car, truck, or van","Bachelor's degree",30,172040,2800,"03301"
"7746","Car, truck, or van","Bachelor's degree",45,172040,2800,"03301"
"7747","Car, truck, or van","GED or alternative credential",35,78000,2500,"00503"
"7748","Car, truck, or van","Master's degree",20,78000,2500,"00503"
"7749","Car, truck, or van","Bachelor's degree",30,185000,2300,"03400"
"7750","Car, truck, or van","Bachelor's degree",45,185000,2300,"03400"
"7751","Car, truck, or van","1 or more years of college credit, no degree",30,45000,1000,"04000"
"7752","Car, truck, or van","1 or more years of college credit, no degree",15,45000,1000,"04000"
"7753","Car, truck, or van","Bachelor's degree",30,119000,1800,"04800"
"7754","Car, truck, or van","No schooling completed",30,119000,1800,"04800"
"7755","Car, truck, or van","Regular high school diploma",15,119000,1800,"04800"
"7756","Railroad","Bachelor's degree",85,125500,1850,"04901"
"7757","Car, truck, or van","Bachelor's degree",10,125500,1850,"04901"
"7758","Car, truck, or van","1 or more years of college credit, no degree",20,125500,1850,"04901"
"7759","Car, truck, or van","Bachelor's degree",18,71000,1800,"04200"
"7760","Car, truck, or van","Bachelor's degree",30,345400,5700,"03400"
"7761","Car, truck, or van","Master's degree",20,345400,5700,"03400"
"7762","Car, truck, or van","1 or more years of college credit, no degree",20,72600,2100,"03306"
"7763","Car, truck, or van","Associate's degree",30,72600,2100,"03306"
"7764","Car, truck, or van","Some college, but less than 1 year",15,72600,2100,"03306"
"7765","Car, truck, or van","Regular high school diploma",5,98000,1600,"03302"
"7766","Car, truck, or van","Associate's degree",90,65000,1300,"00704"
"7767","Car, truck, or van","Bachelor's degree",20,175000,2400,"01000"
"7768","Car, truck, or van","Bachelor's degree",10,175000,2400,"01000"
"7769","Car, truck, or van","Bachelor's degree",30,83900,1000,"03603"
"7770","Car, truck, or van","1 or more years of college credit, no degree",70,160000,1600,"03900"
"7771","Car, truck, or van","Bachelor's degree",60,160000,1600,"03900"
"7772","Subway or elevated","Doctorate degree",40,89100,2300,"00506"
"7773","Subway or elevated","Doctorate degree",45,89100,2300,"00506"
"7774","Car, truck, or van","Regular high school diploma",25,140000,1900,"01400"
"7775","Car, truck, or van","Bachelor's degree",70,140000,1900,"01400"
"7776","Bus or trolley bus","GED or alternative credential",30,4700,210,"03304"
"7777","Car, truck, or van","Bachelor's degree",60,80000,500,"01000"
"7778","Car, truck, or van","1 or more years of college credit, no degree",60,93000,1600,"04302"
"7779","Car, truck, or van","Bachelor's degree",60,93000,1600,"04302"
"7780","Car, truck, or van","Bachelor's degree",10,80000,1500,"04301"
"7781","Car, truck, or van","Bachelor's degree",20,80000,1500,"04301"
"7782","Car, truck, or van","Grade 11",20,80000,1500,"04301"
"7783","Car, truck, or van","Regular high school diploma",30,65000,2430,"03302"
"7784","Walked","Associate's degree",7,65000,2430,"03302"
"7785","Car, truck, or van","Bachelor's degree",10,399000,2300,"04902"
"7786","Car, truck, or van","Bachelor's degree",10,399000,2300,"04902"
"7787","Car, truck, or van","1 or more years of college credit, no degree",45,173900,2580,"04903"
"7788","Car, truck, or van","Regular high school diploma",30,173900,2580,"04903"
"7789","Car, truck, or van","Regular high school diploma",15,93000,880,"01902"
"7790","Car, truck, or van","Regular high school diploma",30,93000,880,"01902"
"7791","Car, truck, or van","Regular high school diploma",15,44900,850,"00502"
"7792","Car, truck, or van","Doctorate degree",90,231000,1200,"00200"
"7793","Car, truck, or van","Bachelor's degree",30,231000,1200,"00200"
"7794","Car, truck, or van","1 or more years of college credit, no degree",20,55800,1400,"04302"
"7795","Car, truck, or van","Bachelor's degree",8,55800,1400,"04302"
"7796","Bus or trolley bus","Master's degree",30,6000,1700,"03301"
"7797","Subway or elevated","Doctorate degree",45,103000,3700,"00506"
"7798","Car, truck, or van","Some college, but less than 1 year",59,66000,1400,"01600"
"7799","Car, truck, or van","Bachelor's degree",60,196500,2500,"04903"
"7800","Car, truck, or van","Bachelor's degree",10,196500,2500,"04903"
"7801","Car, truck, or van","Grade 11",5,196500,2500,"04903"
"7802","Car, truck, or van","Master's degree",15,394410,2600,"00303"
"7803","Car, truck, or van","1 or more years of college credit, no degree",7,394410,2600,"00303"
"7804","Bus or trolley bus","Bachelor's degree",30,62000,2000,"03301"
"7805","Car, truck, or van","Associate's degree",25,29800,1300,"00200"
"7806","Car, truck, or van","GED or alternative credential",10,37000,650,"00301"
"7807","Bus or trolley bus","Grade 10",30,37000,650,"00301"
"7808","Car, truck, or van","1 or more years of college credit, no degree",5,92000,1700,"03601"
"7809","Car, truck, or van","GED or alternative credential",20,92000,1700,"03601"
"7810","Car, truck, or van","Regular high school diploma",20,250000,1700,"04800"
"7811","Car, truck, or van","Bachelor's degree",10,129000,1000,"00200"
"7812","Car, truck, or van","Regular high school diploma",20,129000,1000,"00200"
"7813","Car, truck, or van","Bachelor's degree",10,129000,1000,"00200"
"7814","Car, truck, or van","Regular high school diploma",20,195550,2500,"00508"
"7815","Car, truck, or van","Regular high school diploma",40,195550,2500,"00508"
"7816","Car, truck, or van","Bachelor's degree",60,195550,2500,"00508"
"7817","Car, truck, or van","Regular high school diploma",5,195550,2500,"00508"
"7818","Bus or trolley bus","Bachelor's degree",10,195550,2500,"00508"
"7819","Car, truck, or van","Associate's degree",40,87000,1860,"02800"
"7820","Car, truck, or van","Regular high school diploma",40,87000,1860,"02800"
"7821","Car, truck, or van","Associate's degree",40,15000,1200,"01300"
"7822","Car, truck, or van","Master's degree",90,104050,1500,"04200"
"7823","Car, truck, or van","Master's degree",15,154600,1300,"00100"
"7824","Car, truck, or van","Bachelor's degree",20,154600,1300,"00100"
"7825","Bus or trolley bus","GED or alternative credential",40,22000,700,"00300"
"7826","Car, truck, or van","Bachelor's degree",20,163000,1600,"00304"
"7827","Car, truck, or van","Associate's degree",55,163000,1600,"00304"
"7828","Subway or elevated","Bachelor's degree",25,200010,3000,"03302"
"7829","Walked","Bachelor's degree",60,200010,3000,"03302"
"7830","Car, truck, or van","1 or more years of college credit, no degree",5,61500,750,"01901"
"7831","Car, truck, or van","Regular high school diploma",50,61500,750,"01901"
"7832","Car, truck, or van","Master's degree",30,186600,1500,"00200"
"7833","Car, truck, or van","Associate's degree",35,186600,1500,"00200"
"7834","Walked","Master's degree",20,110000,2200,"03302"
"7835","Subway or elevated","12th grade - no diploma",59,30000,1300,"03302"
"7836","Car, truck, or van","Regular high school diploma",20,73100,430,"00704"
"7837","Car, truck, or van","Some college, but less than 1 year",10,73100,430,"00704"
"7838","Car, truck, or van","Bachelor's degree",30,122000,1800,"04901"
"7839","Car, truck, or van","Master's degree",25,122000,1800,"04901"
"7840","Car, truck, or van","Professional degree beyond a bachelor's degree",15,1317000,4200,"03400"
"7841","Car, truck, or van","1 or more years of college credit, no degree",15,47000,1500,"03301"
"7842","Subway or elevated","Bachelor's degree",45,139000,2400,"03303"
"7843","Subway or elevated","Bachelor's degree",40,139000,2400,"03303"
"7844","Subway or elevated","Associate's degree",40,139000,2400,"03303"
"7845","Car, truck, or van","Bachelor's degree",7,84800,1400,"00304"
"7846","Car, truck, or van","Bachelor's degree",15,84800,1400,"00304"
"7847","Car, truck, or van","Some college, but less than 1 year",60,120000,2170,"00501"
"7848","Car, truck, or van","Regular high school diploma",20,120000,2170,"00501"
"7849","Walked","1 or more years of college credit, no degree",30,52400,1200,"00300"
"7850","Car, truck, or van","Regular high school diploma",10,43000,1200,"00703"
"7851","Car, truck, or van","Master's degree",60,210000,3100,"04903"
"7852","Car, truck, or van","Regular high school diploma",20,91500,700,"00502"
"7853","Car, truck, or van","1 or more years of college credit, no degree",20,225500,3300,"03400"
"7854","Car, truck, or van","Professional degree beyond a bachelor's degree",30,225500,3300,"03400"
"7855","Car, truck, or van","Bachelor's degree",10,205000,2200,"00508"
"7856","Bus or trolley bus","Professional degree beyond a bachelor's degree",25,205000,2200,"00508"
"7857","Bicycle","Master's degree",7,185000,2100,"00507"
"7858","Subway or elevated","Master's degree",45,185000,2100,"00507"
"7859","Car, truck, or van","Master's degree",5,126400,1600,"00200"
"7860","Car, truck, or van","Master's degree",35,129000,2100,"01000"
"7861","Car, truck, or van","Bachelor's degree",12,129000,2100,"01000"
"7862","Car, truck, or van","Some college, but less than 1 year",90,136000,1800,"04902"
"7863","Car, truck, or van","Associate's degree",30,68000,1600,"02800"
"7864","Car, truck, or van","Regular high school diploma",15,153400,1830,"02400"
"7865","Car, truck, or van","Regular high school diploma",40,153400,1830,"02400"
"7866","Car, truck, or van","Regular high school diploma",25,153400,1830,"02400"
"7867","Car, truck, or van","Associate's degree",10,33000,240,"00702"
"7868","Car, truck, or van","Some college, but less than 1 year",25,97600,430,"01600"
"7869","Car, truck, or van","Master's degree",5,208500,1200,"00504"
"7870","Car, truck, or van","Bachelor's degree",75,179000,1500,"02400"
"7871","Car, truck, or van","Associate's degree",10,179000,1500,"02400"
"7872","Car, truck, or van","Bachelor's degree",15,247000,2360,"04700"
"7873","Car, truck, or van","Bachelor's degree",15,180000,1900,"00703"
"7874","Car, truck, or van","Regular high school diploma",15,180000,1900,"00703"
"7875","Car, truck, or van","Regular high school diploma",60,57600,1300,"00504"
"7876","Car, truck, or van","1 or more years of college credit, no degree",20,40000,600,"00200"
"7877","Car, truck, or van","GED or alternative credential",90,1e+05,1000,"00702"
"7878","Car, truck, or van","Bachelor's degree",2,235000,3500,"03603"
"7879","Car, truck, or van","Regular high school diploma",30,100400,1200,"00303"
"7880","Car, truck, or van","Regular high school diploma",28,100400,1200,"00303"
"7881","Car, truck, or van","Bachelor's degree",20,42000,1200,"00703"
"7882","Car, truck, or van","Bachelor's degree",15,150000,1940,"00304"
"7883","Car, truck, or van","Associate's degree",15,150000,1940,"00304"
"7884","Car, truck, or van","Regular high school diploma",40,112000,1800,"01300"
"7885","Car, truck, or van","GED or alternative credential",25,112000,1800,"01300"
"7886","Car, truck, or van","Master's degree",45,106000,2000,"01000"
"7887","Car, truck, or van","Bachelor's degree",8,106000,2000,"01000"
"7888","Car, truck, or van","Master's degree",75,464000,2000,"01300"
"7889","Car, truck, or van","Bachelor's degree",45,464000,2000,"01300"
"7890","Car, truck, or van","Associate's degree",30,71200,20,"00507"
"7891","Car, truck, or van","Regular high school diploma",10,71200,20,"00507"
"7892","Car, truck, or van","Master's degree",55,391700,1600,"03900"
"7893","Car, truck, or van","Bachelor's degree",45,188000,2500,"00300"
"7894","Bus or trolley bus","Bachelor's degree",30,188000,2500,"00300"
"7895","Bus or trolley bus","Associate's degree",40,188000,2500,"00300"
"7896","Car, truck, or van","Associate's degree",7,104000,490,"00100"
"7897","Car, truck, or van","Some college, but less than 1 year",14,104000,490,"00100"
"7898","Car, truck, or van","Bachelor's degree",35,104200,1700,"01600"
"7899","Car, truck, or van","Regular high school diploma",30,252000,2600,"03603"
"7900","Car, truck, or van","Regular high school diploma",7,22000,1300,"04903"
"7901","Walked","Regular high school diploma",3,22000,1300,"04903"
"7902","Car, truck, or van","Bachelor's degree",45,143000,2430,"00303"
"7903","Walked","Bachelor's degree",15,6300,2100,"03301"
"7904","Car, truck, or van","Associate's degree",10,220000,1200,"00100"
"7905","Car, truck, or van","Regular high school diploma",10,220000,1200,"00100"
"7906","Car, truck, or van","Regular high school diploma",10,220000,1200,"00100"
"7907","Car, truck, or van","Regular high school diploma",10,220000,1200,"00100"
"7908","Walked","Associate's degree",1,112450,440,"00100"
"7909","Car, truck, or van","Bachelor's degree",35,80000,1800,"00503"
"7910","Walked","Bachelor's degree",4,22000,1000,"04700"
"7911","Car, truck, or van","Bachelor's degree",35,119000,3200,"00501"
"7912","Car, truck, or van","Bachelor's degree",40,125000,890,"00701"
"7913","Car, truck, or van","Bachelor's degree",60,125000,890,"00701"
"7914","Walked","Bachelor's degree",5,315000,1400,"00703"
"7915","Walked","Bachelor's degree",5,315000,1400,"00703"
"7916","Car, truck, or van","No schooling completed",20,41200,1200,"00502"
"7917","Walked","Bachelor's degree",12,98000,1200,"03302"
"7918","Car, truck, or van","Bachelor's degree",10,30000,800,"00200"
"7919","Car, truck, or van","Bachelor's degree",40,72100,490,"03602"
"7920","Car, truck, or van","Bachelor's degree",90,50000,800,"03601"
"7921","Car, truck, or van","1 or more years of college credit, no degree",15,64880,900,"00701"
"7922","Car, truck, or van","Bachelor's degree",15,178900,2540,"04303"
"7923","Subway or elevated","Some college, but less than 1 year",30,160000,2600,"03302"
"7924","Subway or elevated","Some college, but less than 1 year",30,160000,2600,"03302"
"7925","Car, truck, or van","Bachelor's degree",20,35000,2000,"00508"
"7926","Car, truck, or van","Doctorate degree",60,103060,5400,"03400"
"7927","Bus or trolley bus","Bachelor's degree",50,103060,5400,"03400"
"7928","Car, truck, or van","Bachelor's degree",20,147300,2050,"00504"
"7929","Car, truck, or van","Bachelor's degree",30,147300,2050,"00504"
"7930","Car, truck, or van","Bachelor's degree",45,190000,1500,"00503"
"7931","Car, truck, or van","Professional degree beyond a bachelor's degree",60,190000,1500,"00503"
"7932","Bus or trolley bus","Associate's degree",60,29200,1500,"03305"
"7933","Car, truck, or van","Regular high school diploma",15,34500,560,"00200"
"7934","Walked","Bachelor's degree",35,218300,2500,"03302"
"7935","Walked","Bachelor's degree",35,218300,2500,"03302"
"7936","Car, truck, or van","Master's degree",50,215400,600,"00704"
"7937","Car, truck, or van","Master's degree",10,215400,600,"00704"
"7938","Subway or elevated","Bachelor's degree",60,215400,600,"00704"
"7939","Car, truck, or van","Professional degree beyond a bachelor's degree",30,388400,6200,"03400"
"7940","Car, truck, or van","Some college, but less than 1 year",70,150000,2600,"00503"
"7941","Car, truck, or van","1 or more years of college credit, no degree",45,150000,2600,"00503"
"7942","Car, truck, or van","Master's degree",35,44000,1800,"00200"
"7943","Car, truck, or van","1 or more years of college credit, no degree",40,78000,1600,"00302"
